price_btc,circulating_supply,repo,url,symbol,market_cap,name,price_usd
1.87425e-08,756097560976.0,,https://coinmarketcap.com/currencies/kin/,KIN,132089487.805,Kin,0.000174699
1.65457e-05,756192535.064,https://github.com/enjin/contracts,https://coinmarketcap.com/currencies/enjin-coin/,ENJ,116622281.335,Enjin Coin,0.154223
9.26767e-05,137671788.063,https://github.com/CREDITSCOM,https://coinmarketcap.com/currencies/credits/,CS,118926672.744,Credits,0.863842
0.000826772,15351378.5164,https://github.com/tokenpay,https://coinmarketcap.com/currencies/tokenpay/,TPAY,118303249.344,TokenPay,7.70636
5.06379e-05,241146888.798,https://github.com/GenaroNetwork,https://coinmarketcap.com/currencies/genaro-network/,GNX,113820608.072,Genaro Network,0.471997
8.46665e-06,1202053264.0,,https://coinmarketcap.com/currencies/dynamic-trading-rights/,DTR,94863519.283,Dynamic Trading Rights,0.0789179
0.000100324,103244552.962,,https://coinmarketcap.com/currencies/dew/,DEW,96546046.3658,DEW,0.93512
2.22242e-05,460994203.311,https://zebidata.github.io/,https://coinmarketcap.com/currencies/zebi/,ZCO,95495871.2043,Zebi,0.207152
0.000110788,93355331.0,https://github.com/AschPlatform,https://coinmarketcap.com/currencies/asch/,XAS,96404316.1105,Asch,1.03266
7.23437e-05,144590975.0,https://github.com/ambrosus,https://coinmarketcap.com/currencies/amber/,AMB,97500152.4891,Ambrosus,0.674317
1.82664e-05,596838248.011,https://github.com/GameLeLe,https://coinmarketcap.com/currencies/game/,GTC,101618873.783,Game.com,0.170262
0.000204411,50168936.0,https://github.com/raiden-network/raiden/,https://coinmarketcap.com/currencies/raiden-network-token/,RDN,95587877.1395,Raiden Network Token,1.90532
1.92221e-05,568619707.209,https://github.com/litecoincash-project/,https://coinmarketcap.com/currencies/litecoin-cash/,LCC,101879592.941,Litecoin Cash,0.17917
2.46957e-05,444305986.994,https://github.com/owlchain/owlchain-core,https://coinmarketcap.com/currencies/boscoin/,BOS,102274795.146,BOScoin,0.23019
5.14958e-06,2277026355.0,https://github.com/poetapp,https://coinmarketcap.com/currencies/poet/,POE,109295898.824,Po.et,0.0479994
0.000201513,55000000.0,https://github.com/tomochain/,https://coinmarketcap.com/currencies/tomochain/,TOMO,103307050.0,TomoChain,1.87831
0.000284893,40041672.5984,https://github.com/DelphyProject,https://coinmarketcap.com/currencies/delphy/,DPY,106330661.585,Delphy,2.6555
0.000177641,64355352.0,https://github.com/gamecredits-project,https://coinmarketcap.com/currencies/gamecredits/,GAME,106558948.288,GameCredits,1.65579
0.000265497,44145600.0,https://github.com/vertcoin/vertcoin,https://coinmarketcap.com/currencies/vertcoin/,VTC,109247557.776,Vertcoin,2.47471
5.585e-05,191999266.65,,https://coinmarketcap.com/currencies/sophiatx/,SPHTX,99950978.2326,SophiaTX,0.52058
3.112e-05,216916541.6,https://github.com/emc2foundation/einsteinium,https://coinmarketcap.com/currencies/einsteinium/,EMC2,62920981.2219,Einsteinium,0.29007
8.66978e-05,77966926.2205,https://github.com/oysterprotocol,https://coinmarketcap.com/currencies/oyster/,PRL,63006086.6489,Oyster,0.808113
1.37853e-05,426429828.055,https://github.com/WePowerNetwork/wepower-contracts,https://coinmarketcap.com/currencies/wepower/,WPR,54793247.8962,WePower,0.128493
4.26008e-06,1365218125.0,,https://coinmarketcap.com/currencies/yee/,YEE,54210490.8729,YEE,0.0397083
7.43684e-05,78706576.9896,,https://coinmarketcap.com/currencies/crypterium/,CRPT,54558612.1034,Crypterium,0.69319
3.00124e-07,19361889557.3,https://github.com/NANJ-COIN,https://coinmarketcap.com/currencies/nanjcoin/,NANJ,54164111.561,NANJCOIN,0.00279746
2.2106e-05,185000000.0,,https://coinmarketcap.com/currencies/medical-chain/,MTN,38119250.0,Medicalchain,0.20605
0.000188523,62660370.957,https://github.com/santiment,https://coinmarketcap.com/currencies/santiment/,SAN,110108683.657,Santiment Network Token,1.75723
0.0059097,1010473.35894,https://github.com/saluscoin/SaluS,https://coinmarketcap.com/currencies/salus/,SLS,55661419.7406,SaluS,55.0845
1.78429e-07,25000000000.0,,https://coinmarketcap.com/currencies/eccoin/,ECC,41578500.0,ECC,0.00166314
5.15268e-06,880811506.299,,https://coinmarketcap.com/currencies/datum/,DAT,42303791.1868,Datum,0.0480282
4.51618e-05,98028877.0,,https://coinmarketcap.com/currencies/mobilego/,MGO,41265647.8887,MobileGo,0.420954
8.75435e-06,465615396.285,https://github.com/kickico,https://coinmarketcap.com/currencies/kickico/,KICK,37994030.0907,KickCoin,0.0815996
5.71756e-05,72359752.2867,,https://coinmarketcap.com/currencies/blockmason/,BCPT,38563116.9447,BlockMason Credit Protocol,0.532936
3.3905e-07,10873350234.2,https://github.com/ColossusCoinXT/ColossusCoinXT/,https://coinmarketcap.com/currencies/colossusxt/,COLX,34363048.7453,ColossusXT,0.0031603
3.11663e-05,142215728.19,https://github.com/Lamden/,https://coinmarketcap.com/currencies/lamden/,TAU,41313953.4707,Lamden,0.290502
0.000161318,13000000.0,https://github.com/aeronaero/aeron,https://coinmarketcap.com/currencies/aeron/,ARN,19547450.0,Aeron,1.50365
0.000132927,17994612.5,http://github.com/bitcoin-atom,https://coinmarketcap.com/currencies/bitcoin-atom/,BCA,22295684.7798,Bitcoin Atom,1.23902
3.09487e-05,77961838.9704,https://github.com/dadi,https://coinmarketcap.com/currencies/dadi/,DADI,22489963.5351,DADI,0.288474
5.00948e-06,466548776.616,,https://coinmarketcap.com/currencies/te-food/,TFD,21784795.3009,TE-FOOD,0.0466935
5.90154e-06,399936258.54,https://github.com/indahash,https://coinmarketcap.com/currencies/indahash/,IDH,21999853.6843,indaHash,0.0550084
1.01978e-08,224114694063.0,https://github.com/mooncoincore,https://coinmarketcap.com/currencies/mooncoin/,MOON,21303020.5409,Mooncoin,9.50541e-05
4.24605e-05,51990933.4494,https://github.com/Blockport/,https://coinmarketcap.com/currencies/blockport/,BPT,20576763.6769,Blockport,0.395776
7.54646e-05,30000000.0,,https://coinmarketcap.com/currencies/oraclechain/,OCT,21102240.0,OracleChain,0.703408
6e-07,1522699219.18,,https://coinmarketcap.com/currencies/asiacoin/,AC,8515878.10719,AsiaCoin,0.00559262
1e-05,70000000.0,,https://coinmarketcap.com/currencies/bitdice/,CSNO,6524721.0,BitDice,0.0932103
4.68709e-05,20000000.0,https://github.com/eBoostCrypto/eBoost,https://coinmarketcap.com/currencies/eboostcoin/,EBST,8737680.0,eBoost,0.436884
0.000231004,1914996.84042,https://github.com/Goldmint,https://coinmarketcap.com/currencies/goldmint/,MNTP,4123371.1968,GoldMint,2.1532
8.4e-07,1000000000.0,,https://coinmarketcap.com/currencies/circuits-of-value/,COVAL,7829660.0,Circuits of Value,0.00782966
0.000114485,6999991.0,,https://coinmarketcap.com/currencies/clearpoll/,POLL,7469830.39592,ClearPoll,1.06712
0.000116484,3807146.0,,https://coinmarketcap.com/currencies/zrcoin/,ZRC,4133608.7695,ZrCoin,1.08575
8.3442e-05,1842240.0,https://github.com/vivocoin/vivo/,https://coinmarketcap.com/currencies/vivo/,VIVO,1432829.7936,VIVO,0.777765
1.44115e-06,98120285.7755,,https://coinmarketcap.com/currencies/procurrency/,PROC,1318049.79882,ProCurrency,0.013433
7.78083e-07,41737500.0,https://github.com/marksteven2017/Scorecoin/,https://coinmarketcap.com/currencies/scorecoin/,SCORE,302702.88825,Scorecoin,0.00725254
1.95651e-06,20550000.999,,https://coinmarketcap.com/currencies/bitcoin-red/,BTCRED,374764.203218,Bitcoin Red,0.0182367
2.48279e-05,13600388.07,https://github.com/SigwoTechnologies,https://coinmarketcap.com/currencies/darcrus/,DAR,3147429.00794,Darcrus,0.231422
1.627e-05,1673383.42987,https://github.com/chainworksindustries/influx/,https://coinmarketcap.com/currencies/influxcoin/,INFX,253773.61729,Influxcoin,0.151653
7.28424e-06,6599511.6746,,https://coinmarketcap.com/currencies/trumpcoin/,TRUMP,448084.404366,TrumpCoin,0.0678966
4e-08,36390750.0,https://github.com/crevacoin/creva,https://coinmarketcap.com/currencies/crevacoin/,CREVA,13567.9636208,CrevaCoin,0.000372841
2.987e-05,46863.9,https://github.com/geysercoin/geysercoin,https://coinmarketcap.com/currencies/geysercoin/,GSR,13047.8001741,GeyserCoin,0.278419
4.4e-07,-1.0,https://github.com/fazzcoin/fazzcoin,https://coinmarketcap.com/currencies/fazzcoin/,FAZZ,0.0,Fazzcoin,0.00408843
1.1e-07,-1.0,,https://coinmarketcap.com/currencies/lazaruscoin/,LAZ,0.0,Lazaruscoin,0.00102745
1.61561e-07,-1.0,,https://coinmarketcap.com/currencies/ereal/,EREAL,0.0,eREAL,0.00148401
1e-08,-1.0,,https://coinmarketcap.com/currencies/happy-creator-coin/,HCC,0.0,Happy Creator Coin,9.07333e-05
2e-07,-1.0,https://github.com/thesportscoin/SPORT-source,https://coinmarketcap.com/currencies/sportscoin/,SPORT,0.0,SportsCoin,0.00186431
0.0003,-1.0,,https://coinmarketcap.com/currencies/tattoocoin-limited/,TLE,0.0,Tattoocoin (Limited Edition),2.78225
8e-08,-1.0,https://github.com/REGAcoin/REGA/,https://coinmarketcap.com/currencies/regacoin/,REGA,0.0,Regacoin,0.000728423
